Iteration,Best Score
1,5.016492454393317e+19
2,4.904612126901579e+19
3,4.834382670659822e+19
4,4.666101863164768e+19
5,4.28041040692301e+19
6,3.871153766931253e+19
7,3.871153766931253e+19
8,3.711689822946089e+19
9,3.4706699062876647e+19
10,2.831110826295907e+19
11,2.688815426302501e+19
12,2.5938801263107437e+19
13,2.5938801263107437e+19
14,2.4359319263255814e+19
15,2.10967171300049e+19
16,1.861315566340418e+19
17,1.7267236488470125e+19
18,1.6196045238519577e+19
19,1.536545773855255e+19
20,1.3361963676102005e+19
21,1.292890415118563e+19
22,1.2201405838766846e+19
23,1.2063240838816301e+19
24,1.1688486238898723e+19
25,9.099986697314482e+18
26,8.533434597363938e+18
27,8.533434597363938e+18
28,8.481205797495818e+18
29,8.481205797495818e+18
30,7.398925589277879e+18
31,7.085244989360305e+18
32,6.325894289426245e+18
33,5.784656789508669e+18
34,5.784656789508669e+18
35,4.682852709624064e+18
36,4.1058609096900055e+18
37,3.707993454759819e+18
38,2.889784554821887e+18
39,2.889784554821887e+18
40,2.190852888293331e+18
41,1.45755595085304e+18
42,4.303582217523134e+17
43,3.3699942183473824e+17
44,1.569864844171632e+17
45,1.569864844171632e+17
46,1.569864844171632e+17
47,1.569864844171632e+17
48,8.377223466443818e+16
49,4.017880138055986e+16
50,4.017880138055986e+16
51,2.568655147946986e+16
52,2.568655147946986e+16
53,2.1836351644319876e+16
54,1.8528491726744876e+16
55,6568491776199875.0
56,6568491776199875.0
57,6568491776199875.0
58,6568491776199875.0
59,6568491776199875.0
60,6568491776199875.0
61,6568491776199875.0
62,6568491776199875.0
63,6568491776199875.0
64,6568491776199875.0
65,6568491776199875.0
66,6568491776199875.0
67,6568491776199875.0
68,6568491776199875.0
69,6568491776199875.0
70,6568491776199875.0
71,3328492798269874.5
72,3328492798269874.5
73,3328492798269874.5
74,3328492798269874.5
75,3328492798269874.5
76,3328492798269874.5
77,3328492798269874.5
78,3328492798269874.5
79,3328492798269874.5
80,3328492798269874.5
81,3328492798269874.5
82,3328492798269874.5
83,3328492798269874.5
84,3258493704944874.5
85,3258493704944874.5
86,3258493704944874.5
87,3258493704944874.5
88,3258493704944874.5
89,3258493704944874.5
90,3258493704944874.5
91,3258493704944874.5
92,3258493704944874.5
93,3258493704944874.5
94,3258493704944874.5
95,3258493704944874.5
96,3258493704944874.5
97,3258493704944874.5
98,3258493704944874.5
99,2104694710529874.5
100,2104694710529874.5
