Iteration,Best Score
1,1.26611614464497e+19
2,1.2271737071515804e+19
3,1.1055712196565258e+19
4,9.566299384131197e+18
5,8.264757971713621e+18
6,7.765342009296046e+18
7,7.671722209378471e+18
8,7.492513459444412e+18
9,7.351232209510351e+18
10,6.142052059582458e+18
11,6.142052059582458e+18
12,5.771604859724656e+18
13,5.463669859807081e+18
14,5.335051422389506e+18
15,5.161241422455446e+18
16,5.124450997521386e+18
17,4.5230597476038124e+18
18,3.873426585169751e+18
19,3.7680739352356915e+18
20,3.1351010552851466e+18
21,2.394873367867573e+18
22,1.949657880449998e+18
23,8.910156630324236e+17
24,6.705503130818784e+17
25,3.1722898816430317e+17
26,2.5338748824672826e+17
27,2.034074883126682e+17
28,2.034074883126682e+17
29,1.803305884445482e+17
30,1.611551885104882e+17
31,1.204445885929132e+17
32,1.1563325530903483e+17
33,7.816805537497485e+16
34,6.691124210758153e+16
35,4.3245742190006536e+16
36,4.268270227243154e+16
37,4.268270227243154e+16
38,4.268270227243154e+16
39,3.2970202470251536e+16
40,1.688070253619154e+16
41,1.688070253619154e+16
42,1.688070253619154e+16
43,1.688070253619154e+16
44,1.688070253619154e+16
45,1.688070253619154e+16
46,1.688070253619154e+16
47,1.688070253619154e+16
48,1.688070253619154e+16
49,1.688070253619154e+16
50,1.2582303245046542e+16
51,1.2582303245046542e+16
52,1.2582303245046542e+16
53,1.2582303245046542e+16
54,1.2582303245046542e+16
55,1.2582303245046542e+16
56,1.2582303245046542e+16
57,1.2582303245046542e+16
58,1.2582303245046542e+16
59,1.2582303245046542e+16
60,1.2582303245046542e+16
61,1.2582303245046542e+16
62,7733137369659875.0
63,7733137369659875.0
64,7733137369659875.0
65,7733137369659875.0
66,7733137369659875.0
67,7733137369659875.0
68,7733137369659875.0
69,7733137369659875.0
70,7733137369659875.0
71,7733137369659875.0
72,7733137369659875.0
73,7733137369659875.0
74,7733137369659875.0
75,7733137369659875.0
76,7733137369659875.0
77,7733137369659875.0
78,7733137369659875.0
79,6304388490639875.0
80,6304388490639875.0
81,6304388490639875.0
82,6304388490639875.0
83,6304388490639875.0
84,6304388490639875.0
85,6304388490639875.0
86,6304388490639875.0
87,6304388490639875.0
88,6304388490639875.0
89,6304388490639875.0
90,6304388490639875.0
91,6304388490639875.0
92,6304388490639875.0
93,6304388490639875.0
94,6304388490639875.0
95,6304388490639875.0
96,6304388490639875.0
97,6304388490639875.0
98,6304388490639875.0
99,6304388490639875.0
100,6304388490639875.0
