Iteration,Best Score
1,1.5578650826433386e+19
2,1.5362657626515812e+19
3,1.5362657626515812e+19
4,1.2869860126647691e+19
5,1.2869860126647691e+19
6,1.1196474085129382e+19
7,8.18160908519532e+18
8,8.10491558526126e+18
9,7.983978710310716e+18
10,7.85778006786017e+18
11,7.815260467942595e+18
12,7.76787040552502e+18
13,6.71547978059096e+18
14,6.014244780656899e+18
15,5.382186968239324e+18
16,5.307804968321749e+18
17,3.9076309059041746e+18
18,3.9076309059041746e+18
19,3.9076309059041746e+18
20,3.2221413227686615e+18
21,3.2221413227686615e+18
22,2.6330850729170284e+18
23,1.910160072982968e+18
24,1.6979427730653934e+18
25,1.5069663731148483e+18
26,1.1196008331972736e+18
27,1.1196008331972736e+18
28,9.810469583664627e+17
29,9.810469583664627e+17
30,7.243329835269736e+17
31,6.997818836093985e+17
32,5.304790711918234e+17
33,4.489654046075819e+17
34,3.0136720467352154e+17
35,1.7204057973946154e+17
36,1.4267497982188653e+17
37,4.9271879887826536e+16
38,4.9271879887826536e+16
39,4.9271879887826536e+16
40,4.9271879887826536e+16
41,4.9271879887826536e+16
42,2.6861880217526536e+16
43,2.6861880217526536e+16
44,1.048368031643654e+16
45,1.048368031643654e+16
46,1.048368031643654e+16
47,1.048368031643654e+16
48,1.048368031643654e+16
49,1.048368031643654e+16
50,1.048368031643654e+16
51,1.048368031643654e+16
52,1.048368031643654e+16
53,1.048368031643654e+16
54,1.048368031643654e+16
55,1.048368031643654e+16
56,1.048368031643654e+16
57,1.048368031643654e+16
58,1.048368031643654e+16
59,1.048368031643654e+16
60,1.048368031643654e+16
61,1.048368031643654e+16
62,1.048368031643654e+16
63,1.048368031643654e+16
64,1.048368031643654e+16
65,1.048368031643654e+16
66,8118706816571540.0
67,8118706816571540.0
68,8118706816571540.0
69,8118706816571540.0
70,8118706816571540.0
71,8118706816571540.0
72,8118706816571540.0
73,8118706816571540.0
74,8118706816571540.0
75,8118706816571540.0
76,8118706816571540.0
77,8118706816571540.0
78,8118706816571540.0
79,8118706816571540.0
80,8118706816571540.0
81,8118706816571540.0
82,8118706816571540.0
83,7681207937551541.0
84,7681207937551541.0
85,7681207937551541.0
86,5064541452219875.0
87,2521208184826541.5
88,2521208184826541.5
89,2521208184826541.5
90,2521208184826541.5
91,2521208184826541.5
92,2521208184826541.5
93,2521208184826541.5
94,2521208184826541.5
95,2521208184826541.5
96,2521208184826541.5
97,2521208184826541.5
98,2521208184826541.5
99,2521208184826541.5
100,2521208184826541.5
