Iteration,Best Score
1,3.468073910644968e+19
2,3.0917588931532276e+19
3,3.0573049556598215e+19
4,2.9858153119180644e+19
5,2.9858153119180644e+19
6,2.537398495267882e+19
7,2.2685141352761266e+19
8,2.2231198632843694e+19
9,2.164558269540963e+19
10,2.164558269540963e+19
11,2.109885519557448e+19
12,1.9493809895656907e+19
13,1.8213745295739335e+19
14,1.3235107587488424e+19
15,1.2054694587554357e+19
16,1.2054694587554357e+19
17,9.96606908770272e+18
18,8.13173858776866e+18
19,8.041197962851084e+18
20,7.926397337933512e+18
21,6.849744617999451e+18
22,6.666090618065392e+18
23,6.358746850647816e+18
24,5.876334934047089e+18
25,4.724134934129513e+18
26,4.538503734195455e+18
27,4.538503734195455e+18
28,4.538503734195455e+18
29,4.538503734195455e+18
30,4.538503734195455e+18
31,4.101415134521692e+18
32,3.539560659591095e+18
33,3.539560659591095e+18
34,3.238521459722975e+18
35,2.895182229805402e+18
36,2.895182229805402e+18
37,1.5639082091204334e+18
38,1.5493972092028582e+18
39,1.5493972092028582e+18
40,1.5493972092028582e+18
41,1.5493972092028582e+18
42,1.0133398844831035e+18
43,5.819268845490436e+17
44,5.819268845490436e+17
45,5.262677346974085e+17
46,4.700369347468635e+17
47,3.6749318479631814e+17
48,2.087119348622582e+17
49,2.087119348622582e+17
50,1.8305306832747155e+17
51,1.1662331841401752e+17
52,1.1662331841401752e+17
53,1.1308631854177653e+17
54,9.065944357474653e+16
55,9.065944357474653e+16
56,6.9978818739596536e+16
57,3.0752618805536524e+16
58,3.0752618805536524e+16
59,1.0580243970386542e+16
60,1.0580243970386542e+16
61,1.0580243970386542e+16
62,1.0580243970386542e+16
63,1.0580243970386542e+16
64,1.0580243970386542e+16
65,1.0580243970386542e+16
66,1.0580243970386542e+16
67,1.0580243970386542e+16
68,1.0580243970386542e+16
69,1346311395363208.0
70,1346311395363208.0
71,1346311395363208.0
72,1346311395363208.0
73,1346311395363208.0
74,1346311395363208.0
75,1346311395363208.0
76,1346311395363208.0
77,1346311395363208.0
78,1346311395363208.0
79,1346311395363208.0
80,1346311395363208.0
81,1346311395363208.0
82,1346311395363208.0
83,1346311395363208.0
84,1346311395363208.0
85,1346311395363208.0
86,1346311395363208.0
87,1346311395363208.0
88,1346311395363208.0
