Iteration,Best Score
1,4.379012844803473e+19
2,4.223964719814949e+19
3,3.533021048986561e+19
4,3.1916905724948038e+19
5,2.6471989800030466e+19
6,2.5373300400096403e+19
7,2.3903915900145873e+19
8,2.322826902521181e+19
9,2.322826902521181e+19
10,2.1695596941977387e+19
11,1.9108085557043327e+19
12,1.7242655557125757e+19
13,1.4581003994724663e+19
14,1.2988559394790605e+19
15,1.2319713769823574e+19
16,1.0973101103239328e+19
17,9.63012310332175e+18
18,9.296464978404176e+18
19,9.2396974784866e+18
20,7.608752758569025e+18
21,6.874927758651449e+18
22,6.18596650871739e+18
23,5.649308658783328e+18
24,5.285873325515936e+18
25,5.027861325598361e+18
26,4.4783349756807864e+18
27,3.541422309096544e+18
28,3.541422309096544e+18
29,3.541422309096544e+18
30,3.3405748093273354e+18
31,2.962224809409762e+18
32,2.5178993094757023e+18
33,2.2479128095416417e+18
34,1.6280628096240666e+18
35,1.4482760596900065e+18
36,9.532994972559468e+17
37,5.819853723383718e+17
38,5.815749724043118e+17
39,3.969545857871001e+17
40,3.851824958530401e+17
41,3.069000792523132e+17
42,2.610457043182532e+17
43,2.1915107938419318e+17
44,1.4212007946661819e+17
45,1.4212007946661819e+17
46,1.026850795820132e+17
47,1.026850795820132e+17
48,1.026850795820132e+17
49,1.026850795820132e+17
50,1.026850795820132e+17
51,1.026850795820132e+17
52,5.50906050330492e+16
53,5.50906050330492e+16
54,5.50906050330492e+16
55,3.3981780257898204e+16
56,3.3981780257898204e+16
57,3.3981780257898204e+16
58,2.1408030472203212e+16
59,1.9358730554628212e+16
60,1.3837772287234874e+16
61,1.3837772287234874e+16
62,4717172435599874.0
63,4717172435599874.0
64,4717172435599874.0
65,4717172435599874.0
66,4717172435599874.0
67,4717172435599874.0
68,4717172435599874.0
69,4717172435599874.0
70,4717172435599874.0
71,4717172435599874.0
72,4717172435599874.0
73,4717172435599874.0
74,4717172435599874.0
75,4717172435599874.0
76,4717172435599874.0
77,4717172435599874.0
78,4717172435599874.0
79,4717172435599874.0
80,4717172435599874.0
81,4717172435599874.0
82,4717172435599874.0
83,4717172435599874.0
84,4717172435599874.0
85,4717172435599874.0
86,4717172435599874.0
87,4717172435599874.0
88,4717172435599874.0
89,4717172435599874.0
90,4717172435599874.0
91,4717172435599874.0
92,4717172435599874.0
93,4717172435599874.0
94,4717172435599874.0
95,4717172435599874.0
96,4717172435599874.0
97,4717172435599874.0
98,4717172435599874.0
99,4717172435599874.0
100,4717172435599874.0
