Iteration,Best Score
1,9.463676972395162e+18
2,8.490593259944361e+18
3,7.21899325996404e+18
4,6.696208460003401e+18
5,6.519286460023081e+18
6,5.557929660062439e+18
7,5.101893360111641e+18
8,4.63249161014116e+18
9,3.7977780685236936e+18
10,3.5687730685335337e+18
11,3.5687730685335337e+18
12,1.4383805686516152e+18
13,1.2162063436712952e+18
14,1.1921946312303355e+18
15,8.346538812696952e+17
16,6.129548813188954e+17
17,3.1153636136848006e+17
18,1.9173336139761507e+17
19,1.7192286146649507e+17
20,8.008536149601512e+16
21,5.606366156489511e+16
22,4.205966159441511e+16
23,2.394097415345513e+16
24,2.394097415345513e+16
25,2.394097415345513e+16
26,2.394097415345513e+16
27,2.394097415345513e+16
28,2.394097415345513e+16
29,1.939417436993513e+16
30,5402274419135127.0
31,5402274419135127.0
32,5402274419135127.0
33,4357374548734126.5
34,4357374548734126.5
35,4357374548734126.5
36,4357374548734126.5
37,4357374548734126.5
38,4357374548734126.5
39,4357374548734126.5
40,4357374548734126.5
41,4357374548734126.5
42,4357374548734126.5
43,4357374548734126.5
44,4189374980015126.5
45,4189374980015126.5
46,4189374980015126.5
47,4189374980015126.5
48,4189374980015126.5
49,4189374980015126.5
50,3845125196495126.5
51,3845125196495126.5
52,3845125196495126.5
53,3845125196495126.5
54,3845125196495126.5
55,3845125196495126.5
56,3845125196495126.5
57,3845125196495126.5
58,3845125196495126.5
59,3845125196495126.5
60,3845125196495126.5
61,3845125196495126.5
62,3845125196495126.5
63,3845125196495126.5
64,3845125196495126.5
65,3845125196495126.5
66,3845125196495126.5
67,3845125196495126.5
68,3845125196495126.5
69,3845125196495126.5
70,3845125196495126.5
71,3845125196495126.5
72,3845125196495126.5
73,3845125196495126.5
74,3845125196495126.5
75,3845125196495126.5
76,3845125196495126.5
77,3845125196495126.5
78,3845125196495126.5
79,3845125196495126.5
80,3845125196495126.5
81,3845125196495126.5
82,3845125196495126.5
83,3845125196495126.5
84,3845125196495126.5
85,3845125196495126.5
86,3845125196495126.5
87,3845125196495126.5
88,3845125196495126.5
