Iteration,Best Score
1,2.7856067514061468e+19
2,2.76067387140815e+19
3,2.554115568914054e+19
4,2.484111318918974e+19
5,2.0067147174229115e+19
6,1.908826250758213e+19
7,1.908826250758213e+19
8,1.8057160632660847e+19
9,1.7502006882700206e+19
10,1.6396734882749407e+19
11,1.3311777082788768e+19
12,1.2957334582818288e+19
13,9.66797589785764e+18
14,9.359729022897e+18
15,9.03063277292652e+18
16,8.751176022965879e+18
17,8.319885898015078e+18
18,7.73819509805444e+18
19,5.36175172308396e+18
20,3.691168918133159e+18
21,3.55789766817252e+18
22,3.38216329320204e+18
23,2.7577011682512415e+18
24,1.891471193270922e+18
25,1.5737746933102822e+18
26,9.966468100064685e+17
27,9.294269350556685e+17
28,7.354613100950285e+17
29,6.405098101442285e+17
30,3.837417601835882e+17
31,3.1197576021310835e+17
32,2.6680307275246832e+17
33,1.684405728311883e+17
34,1.3632677288038832e+17
35,9.355896041974832e+16
36,4.654987380228164e+16
37,2.8234873841641652e+16
38,2.8234873841641652e+16
39,2.4489973900681652e+16
40,2.4489973900681652e+16
41,2.4489973900681652e+16
42,2.4489973900681652e+16
43,2.4489973900681652e+16
44,7640474067961664.0
45,7640474067961664.0
46,4906099166361664.0
47,4906099166361664.0
48,4906099166361664.0
49,4906099166361664.0
50,4906099166361664.0
51,4906099166361664.0
52,4906099166361664.0
53,4906099166361664.0
54,4906099166361664.0
55,4906099166361664.0
56,4906099166361664.0
57,4906099166361664.0
58,4906099166361664.0
59,4906099166361664.0
60,4906099166361664.0
61,4906099166361664.0
62,4906099166361664.0
63,4906099166361664.0
64,4906099166361664.0
65,4906099166361664.0
66,4906099166361664.0
67,4906099166361664.0
68,4906099166361664.0
69,4906099166361664.0
70,4906099166361664.0
71,4906099166361664.0
72,4906099166361664.0
73,4906099166361664.0
74,4906099166361664.0
75,4906099166361664.0
76,4906099166361664.0
77,4906099166361664.0
78,4906099166361664.0
79,4906099166361664.0
80,4906099166361664.0
81,3019600553801663.5
82,3019600553801663.5
83,3019600553801663.5
84,3019600553801663.5
85,3019600553801663.5
86,3019600553801663.5
87,2702800750601663.5
88,2702800750601663.5
