Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,130,265.5,303.0,220.0,219.0,320.0,297.0,238.0,266.0,261.0
1,143,281.625,401.0,341.0,324.0,124.0,205.0,313.0,234.0,311.0
2,136,338.3333333333333,309.0,371.0,228.0,347.0,444.0,331.0,,
3,135,557.0,583.0,462.0,593.0,590.0,,,,
4,134,566.0,590.0,554.0,508.0,612.0,,,,
5,122,511.75,430.0,604.0,558.0,455.0,,,,
