Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,161,340.0,380.0,288.0,439.0,281.0,368.0,335.0,176.0,453.0
1,178,356.0,260.0,346.0,290.0,317.0,371.0,438.0,484.0,342.0
2,174,465.3333333333333,521.0,472.0,404.0,430.0,481.0,484.0,,
3,157,667.5,708.0,587.0,773.0,602.0,,,,
4,156,649.25,648.0,531.0,696.0,722.0,,,,
5,174,714.5,726.0,726.0,690.0,716.0,,,,
