Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,168,344.875,274.0,369.0,300.0,388.0,264.0,287.0,505.0,372.0
1,165,329.625,232.0,464.0,287.0,302.0,348.0,289.0,284.0,431.0
2,150,434.8333333333333,328.0,498.0,397.0,370.0,505.0,511.0,,
3,183,747.5,842.0,656.0,794.0,698.0,,,,
4,172,676.25,898.0,607.0,622.0,578.0,,,,
5,162,696.25,669.0,588.0,866.0,662.0,,,,
