Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,165,345.25,387.0,495.0,302.0,330.0,367.0,291.0,275.0,315.0
1,163,329.125,212.0,439.0,305.0,359.0,367.0,367.0,352.0,232.0
2,164,445.6666666666667,416.0,500.0,371.0,427.0,507.0,453.0,,
3,171,698.5,667.0,734.0,722.0,671.0,,,,
4,168,702.5,677.0,529.0,869.0,735.0,,,,
5,169,703.0,874.0,535.0,745.0,658.0,,,,
