Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,178,361.25,309.0,429.0,290.0,402.0,327.0,425.0,405.0,303.0
1,158,319.875,358.0,304.0,408.0,216.0,302.0,343.0,342.0,286.0
2,170,461.8333333333333,528.0,488.0,420.0,560.0,500.0,275.0,,
3,162,672.0,742.0,604.0,741.0,601.0,,,,
4,167,686.0,729.0,652.0,570.0,793.0,,,,
5,165,708.25,837.0,745.0,607.0,644.0,,,,
