Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,140,289.75,228.0,409.0,314.0,315.0,306.0,268.0,256.0,222.0
1,181,369.375,349.0,315.0,419.0,334.0,340.0,362.0,425.0,411.0
2,153,419.1666666666667,410.0,473.0,433.0,434.0,346.0,419.0,,
3,179,756.5,912.0,646.0,788.0,680.0,,,,
4,170,682.25,792.0,645.0,614.0,678.0,,,,
5,177,735.5,626.0,686.0,857.0,773.0,,,,
