Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,171,356.0,466.0,245.0,328.0,301.0,350.0,364.0,377.0,417.0
1,166,338.0,223.0,430.0,454.0,327.0,303.0,352.0,377.0,238.0
2,172,473.0,521.0,526.0,383.0,422.0,560.0,426.0,,
3,160,667.0,853.0,466.0,693.0,656.0,,,,
4,176,702.75,630.0,718.0,702.0,761.0,,,,
5,155,654.0,528.0,760.0,667.0,661.0,,,,
