Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,102,203.875,248.0,284.0,216.0,82.0,212.0,184.0,175.0,230.0
1,93,208.625,136.0,212.0,188.0,202.0,147.0,248.0,373.0,163.0
2,103,281.0,308.0,198.0,310.0,202.0,355.0,313.0,,
3,102,414.5,295.0,455.0,450.0,458.0,,,,
4,100,405.5,412.0,370.0,315.0,525.0,,,,
5,100,393.5,323.0,427.0,441.0,383.0,,,,
